age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,avg_watch_hours_per_month,engagement_score,high_value_customer,recent_login,favorite_genre_Comedy,favorite_genre_Documentary,favorite_genre_Drama,favorite_genre_Horror,favorite_genre_Romance,favorite_genre_Sci-Fi
51,2,0,14.73,29,0,3,8.99,1,3,1,0.49,14.73,0.49,0,1,False,False,False,False,False,False
47,2,2,0.7,19,2,2,13.99,1,3,5,0.03,1.05,0.15,0,1,False,False,False,False,False,True
27,0,2,16.32,10,1,3,13.99,0,1,2,1.48,44.509090909090915,2.96,0,1,False,False,True,False,False,False
53,2,1,4.51,12,4,3,17.99,1,1,2,0.35,10.407692307692306,0.7,1,1,False,False,False,True,False,False
56,2,2,1.89,13,0,2,13.99,1,1,2,0.13,4.05,0.26,0,1,False,False,False,False,False,False
58,0,2,13.8,26,4,2,13.99,0,2,3,0.51,15.333333333333334,1.53,0,1,False,False,False,False,False,False
48,2,0,13.83,20,1,3,8.99,0,3,5,0.66,19.75714285714286,3.3000000000000003,0,1,False,False,False,False,True,False
51,1,0,14.3,56,2,2,8.99,1,3,1,0.25,7.526315789473685,0.25,0,0,False,False,False,False,False,False
45,2,0,9.98,10,1,2,8.99,0,4,3,0.91,27.218181818181822,2.73,0,1,False,False,False,False,True,False
32,2,1,2.22,34,2,3,17.99,1,2,1,0.06,1.9028571428571428,0.06,1,0,False,False,True,False,False,False
26,1,1,15.42,36,1,1,17.99,0,2,4,0.42,12.502702702702702,1.68,1,0,True,False,False,False,False,False
28,2,2,22.26,38,5,2,13.99,0,1,5,0.57,17.123076923076923,2.8499999999999996,0,0,False,False,False,True,False,False
47,2,2,7.92,23,5,3,13.99,0,1,1,0.33,9.899999999999999,0.33,0,1,False,False,False,False,False,True
49,0,0,5.26,33,5,2,8.99,1,1,3,0.15,4.641176470588235,0.44999999999999996,0,0,False,True,False,False,False,False
39,0,0,10.97,10,4,2,8.99,0,4,1,1.0,29.91818181818182,1.0,0,1,True,False,False,False,False,False
32,0,1,40.94,7,5,0,17.99,0,1,1,5.12,153.525,5.12,1,1,False,False,False,False,False,False
46,2,1,1.25,13,2,4,17.99,1,2,3,0.09,2.6785714285714284,0.27,1,1,True,False,False,False,False,False
48,0,2,8.12,32,0,0,13.99,1,1,2,0.25,7.381818181818181,0.5,0,0,False,False,False,False,False,False
68,0,1,7.67,40,4,4,17.99,0,4,4,0.19,5.61219512195122,0.76,1,0,False,False,False,False,True,False
21,0,2,15.53,27,5,1,13.99,0,0,1,0.55,16.639285714285712,0.55,0,1,True,False,False,False,False,False
60,1,0,31.9,4,4,4,8.99,0,1,2,6.38,191.4,12.76,0,1,True,False,False,False,False,False
70,2,1,7.97,57,2,1,17.99,1,3,5,0.14,4.122413793103448,0.7000000000000001,1,0,False,False,True,False,False,False
53,2,2,43.02,43,5,4,13.99,0,1,1,0.98,29.331818181818186,0.98,0,0,False,False,False,False,False,False
36,2,2,34.6,19,4,4,13.99,0,1,3,1.73,51.900000000000006,5.1899999999999995,0,1,False,False,False,False,False,False
55,2,0,24.58,18,1,0,8.99,0,2,1,1.29,38.810526315789474,1.29,0,1,False,True,False,False,False,False
45,0,2,7.39,6,4,3,13.99,0,4,1,1.06,31.67142857142857,1.06,0,1,False,False,False,False,True,False
24,1,1,6.92,13,0,0,17.99,0,1,2,0.49,14.828571428571427,0.98,1,1,False,False,False,False,False,False
30,2,1,1.37,55,3,2,17.99,1,2,1,0.02,0.7339285714285715,0.02,1,0,False,False,False,True,False,False
69,0,0,24.56,53,4,1,8.99,1,3,1,0.45,13.644444444444444,0.45,0,0,False,False,False,False,False,False
47,2,2,15.87,52,0,1,13.99,1,1,1,0.3,8.983018867924528,0.3,0,0,False,False,False,False,False,True
49,0,2,7.62,27,1,3,13.99,0,2,3,0.27,8.164285714285715,0.81,0,1,False,False,False,False,False,False
67,1,2,3.05,29,4,4,13.99,1,4,1,0.1,3.05,0.1,0,1,False,False,True,False,False,False
23,0,1,13.31,34,0,2,17.99,1,2,2,0.38,11.408571428571427,0.76,1,0,False,False,False,False,True,False
67,1,0,1.56,0,4,0,8.99,0,1,5,1.56,46.800000000000004,7.800000000000001,0,1,False,True,False,False,False,False
57,1,1,0.97,32,5,2,17.99,1,3,2,0.03,0.8818181818181817,0.06,1,0,True,False,False,False,False,False
55,2,2,21.58,48,3,2,13.99,0,0,5,0.44,13.212244897959183,2.2,0,0,False,False,False,False,True,False
35,2,2,22.59,16,2,4,13.99,0,0,2,1.33,39.86470588235294,2.66,0,1,True,False,False,False,False,False
22,0,2,9.69,35,1,3,13.99,1,1,4,0.27,8.075,1.08,0,0,False,True,False,False,False,False
34,1,1,12.82,45,3,2,17.99,1,4,2,0.28,8.36086956521739,0.56,1,0,False,False,False,False,True,False
19,1,2,4.34,1,1,4,13.99,0,4,1,2.17,65.1,2.17,0,1,False,False,False,False,False,True
25,0,1,15.95,15,5,1,17.99,0,0,1,1.0,29.90625,1.0,1,1,False,False,False,False,False,False
49,2,1,2.05,14,3,4,17.99,0,2,5,0.14,4.1,0.7000000000000001,1,1,False,False,False,False,True,False
55,2,1,3.86,25,2,4,17.99,1,4,3,0.15,4.453846153846153,0.44999999999999996,1,1,False,False,False,False,False,False
36,2,0,1.68,10,0,3,8.99,1,4,4,0.15,4.581818181818182,0.6,0,1,False,False,False,False,False,False
27,2,1,46.88,56,4,3,17.99,0,1,3,0.82,24.673684210526318,2.46,1,0,False,False,True,False,False,False
49,1,2,4.22,50,4,0,13.99,1,3,2,0.08,2.4823529411764707,0.16,0,0,True,False,False,False,False,False
54,0,0,26.88,44,5,0,8.99,0,3,3,0.6,17.919999999999998,1.7999999999999998,0,0,False,False,True,False,False,False
31,0,2,2.23,39,3,2,13.99,1,2,5,0.06,1.6725,0.3,0,0,False,False,True,False,False,False
31,1,1,14.15,24,5,0,17.99,0,4,5,0.57,16.98,2.8499999999999996,1,1,False,False,True,False,False,False
42,0,0,49.49,39,2,2,8.99,0,0,5,1.24,37.11750000000001,6.2,0,0,False,False,False,True,False,False
30,1,1,8.79,21,2,4,17.99,0,1,4,0.4,11.986363636363636,1.6,1,1,True,False,False,False,False,False
58,1,2,14.57,22,3,2,13.99,0,2,2,0.63,19.004347826086956,1.26,0,1,False,False,False,False,True,False
63,2,2,25.73,11,0,3,13.99,0,4,1,2.14,64.325,2.14,0,1,True,False,False,False,False,False
60,1,2,3.01,30,1,0,13.99,1,3,3,0.1,2.9129032258064513,0.30000000000000004,0,1,False,True,False,False,False,False
66,1,0,12.05,33,5,4,8.99,1,4,3,0.35,10.632352941176471,1.0499999999999998,0,0,False,False,True,False,False,False
51,0,1,3.7,37,5,2,17.99,1,0,2,0.1,2.921052631578948,0.2,1,0,False,False,False,True,False,False
63,1,1,5.84,20,4,2,17.99,0,0,1,0.28,8.342857142857143,0.28,1,1,False,True,False,False,False,False
31,1,0,48.35,11,4,0,8.99,0,2,5,4.03,120.875,20.150000000000002,0,1,True,False,False,False,False,False
55,2,2,2.89,37,3,0,13.99,1,2,4,0.08,2.281578947368421,0.32,0,0,False,False,False,False,False,False
38,1,1,29.84,56,5,0,17.99,0,0,4,0.52,15.705263157894738,2.08,1,0,False,False,True,False,False,False
65,2,2,19.33,31,3,0,13.99,0,0,1,0.6,18.121875,0.6,0,0,True,False,False,False,False,False
43,0,1,2.5,33,2,3,17.99,1,0,3,0.07,2.2058823529411766,0.21000000000000002,1,0,False,False,False,False,False,False
63,1,1,6.97,31,3,4,17.99,1,1,1,0.22,6.534375,0.22,1,0,False,False,False,False,True,False
64,0,2,3.66,6,0,2,13.99,0,4,1,0.52,15.685714285714287,0.52,0,1,False,False,False,False,True,False
58,0,0,30.85,46,3,2,8.99,0,2,5,0.66,19.69148936170213,3.3000000000000003,0,0,False,False,False,False,False,False
31,1,2,1.77,34,2,3,13.99,1,4,3,0.05,1.5171428571428571,0.15000000000000002,0,0,False,False,False,False,False,True
62,2,2,16.65,41,3,4,13.99,1,2,3,0.4,11.892857142857142,1.2000000000000002,0,0,False,False,False,False,True,False
35,1,2,25.08,2,4,3,13.99,0,1,5,8.36,250.79999999999998,41.8,0,1,False,False,False,False,False,False
34,2,2,23.2,18,1,4,13.99,0,2,1,1.22,36.631578947368425,1.22,0,1,True,False,False,False,False,False
65,2,1,37.82,31,4,4,17.99,0,3,3,1.18,35.456250000000004,3.54,1,0,False,False,False,False,False,True
68,1,2,28.44,55,2,1,13.99,0,1,3,0.51,15.235714285714286,1.53,0,0,False,False,False,False,True,False
46,2,2,13.38,3,5,1,13.99,0,0,2,3.35,100.35000000000001,6.7,0,1,False,False,False,False,True,False
